uid,p2overhead
unit.000446,0.007831
unit.000447,0.009014
unit.000448,0.009025
unit.000449,0.009452
unit.000450,0.007012
unit.000451,0.007979
unit.000452,0.032078
unit.000453,0.007023
unit.000454,0.008892
unit.000455,0.010758
unit.000456,0.008553
unit.000457,0.008251
unit.000458,0.009035
unit.000459,0.008411
unit.000460,0.008358
unit.000461,0.008494
unit.000462,0.009285
unit.000463,0.006788
unit.000464,0.054969
unit.000465,0.006419
unit.000466,0.007134
unit.000467,0.006816
unit.000468,0.0082
unit.000469,0.00853
unit.000470,0.006974
unit.000471,0.006949
unit.000472,0.00901
unit.000473,0.020972
unit.000474,0.010043
unit.000475,0.008391
unit.000476,0.007601
unit.000477,0.008705
unit.000478,0.007576
unit.000479,0.007009
unit.000480,0.006407
unit.000481,0.007998
unit.000482,0.006686
unit.000483,0.006328
unit.000484,0.00992
unit.000485,0.073834
unit.000486,0.007846
unit.000487,0.007181
unit.000488,0.007075
unit.000489,0.007741
unit.000490,0.008106
unit.000491,0.00663
unit.000492,0.006392
unit.000493,0.027112
unit.000494,0.007242
unit.000495,0.007942
unit.000496,0.007798
unit.000497,0.008053
unit.000498,0.008528
unit.000499,0.008319
unit.000500,0.007824
unit.000501,0.007986
unit.000502,0.009943
unit.000503,0.008123
unit.000504,0.006254
unit.000505,0.098529
unit.000506,0.007844
unit.000507,0.00846
unit.000508,0.009674
unit.000509,0.00651
unit.000510,0.008219
unit.000511,0.007976
unit.000512,0.008101
unit.000513,0.008644
unit.000514,0.009641
unit.000515,0.009198
unit.000516,0.009495
unit.000517,0.008987
unit.000518,0.009064
unit.000519,0.010472
unit.000520,0.010489
unit.000521,0.009015
unit.000522,0.008849
unit.000523,0.007043
unit.000524,0.008669
unit.000525,0.008906
unit.000526,0.12568
unit.000527,0.008814
unit.000528,0.009107
unit.000529,0.008882
unit.000530,0.009333
unit.000531,0.008262
unit.000532,0.010594
unit.000533,0.009142
unit.000534,0.030824
unit.000535,0.007029
unit.000536,0.009262
unit.000537,0.007087
unit.000538,0.009681
unit.000539,0.007739
unit.000540,0.0066
unit.000541,0.007081
unit.000542,0.009715
unit.000543,0.009006
unit.000544,0.009262
unit.000545,0.008286
unit.000546,0.127512
unit.000547,0.008786
unit.000548,0.008763
unit.000549,0.009267
unit.000550,0.006909
unit.000551,0.009012
unit.000552,0.008714
unit.000553,0.007146
unit.000554,0.056942
unit.000555,0.00687
unit.000556,0.00667
unit.000557,0.006435
unit.000558,0.008013
unit.000559,0.006771
unit.000560,0.007926
unit.000561,0.00837
unit.000562,0.008564
unit.000563,0.006908
unit.000564,0.007509
unit.000565,0.007847
unit.000566,0.007582
unit.000567,0.064924
unit.000568,0.009174
unit.000569,0.00671
unit.000570,0.006828
unit.000571,0.007059
unit.000572,0.011209
unit.000573,0.008885
unit.000574,0.008394
unit.000575,0.083925
unit.000576,0.009634
unit.000577,0.00896
unit.000578,0.009076
unit.000579,0.006177
unit.000580,0.009098
unit.000581,0.008278
unit.000582,0.008188
unit.000583,0.007605
unit.000584,0.006152
unit.000585,0.007893
unit.000586,0.007838
unit.000587,0.059005
unit.000588,0.00734
unit.000589,0.006742
unit.000590,0.008848
unit.000591,0.008512
unit.000592,0.007068
unit.000593,0.008797
unit.000594,0.006921
unit.000595,0.008372
unit.000596,0.008843
unit.000597,0.008852
unit.000598,0.009148
unit.000599,0.007807
unit.000600,0.008946
unit.000601,0.008911
unit.000602,0.007655
unit.000603,0.007577
unit.000604,0.007503
unit.000605,0.007354
unit.000606,0.008324
unit.000607,0.009176
unit.000608,0.098501
unit.000609,0.008967
unit.000610,0.008874
unit.000611,0.008113
unit.000612,0.009057
unit.000613,0.009112
unit.000614,0.020024
unit.000615,0.009025
unit.000616,0.0439
unit.000617,0.00782
unit.000618,0.006688
unit.000619,0.006245
unit.000620,0.009323
unit.000621,0.006017
unit.000622,0.006419
unit.000623,0.006253
unit.000624,0.009338
unit.000625,0.009783
unit.000626,0.007916
unit.000627,0.006468
unit.000628,0.059882
unit.000629,0.006146
unit.000630,0.006854
unit.000631,0.006709
unit.000632,0.009028
unit.000633,0.007972
unit.000634,0.008322
unit.000635,0.00787
unit.000636,0.008806
unit.000637,0.009216
unit.000638,0.007897
unit.000639,0.007639
unit.000640,0.009227
unit.000641,0.009287
unit.000642,0.009103
unit.000643,0.007254
unit.000644,0.007738
unit.000645,0.007028
unit.000646,0.007603
unit.000647,0.008325
unit.000648,0.010494
unit.000649,0.060775
unit.000650,0.010294
unit.000651,0.008559
unit.000652,0.011075
unit.000653,0.007412
unit.000654,0.01094
unit.000655,0.01015
unit.000656,0.009065
unit.000657,0.040303
unit.000658,0.00858
unit.000659,0.009597
unit.000660,0.008057
unit.000661,0.007695
unit.000662,0.006719
unit.000663,0.006449
unit.000664,0.008495
unit.000665,0.007253
unit.000666,0.008853
unit.000667,0.008032
unit.000668,0.007895
unit.000669,0.064643
unit.000670,0.007076
unit.000671,0.006532
unit.000672,0.008056
unit.000673,0.008071
unit.000674,0.008237
unit.000675,0.008072
unit.000676,0.007944
unit.000677,0.008538
unit.000678,0.009623
unit.000679,0.009477
unit.000680,0.007881
unit.000681,0.007878
unit.000682,0.009502
unit.000683,0.009762
unit.000684,0.009299
unit.000685,0.007596
unit.000686,0.009415
unit.000687,0.009031
unit.000688,0.00914
unit.000689,0.009636
unit.000690,0.122498
unit.000691,0.010187
unit.000692,0.009681
unit.000693,0.007742
unit.000694,0.009434
unit.000695,0.009459
unit.000696,0.009722
unit.000697,0.007777
unit.000698,0.061174
unit.000699,0.010213
unit.000700,0.008068
unit.000701,0.0087
unit.000702,0.006744
unit.000703,0.008453
unit.000704,0.008214
unit.000705,0.00775
unit.000706,0.008561
unit.000707,0.00873
unit.000708,0.008194
unit.000709,0.008391
unit.000710,0.060766
unit.000711,0.008685
unit.000712,0.007371
unit.000713,0.008737
unit.000714,0.008687
unit.000715,0.008591
unit.000716,0.008241
unit.000717,0.008517
unit.000718,0.006531
unit.000719,0.0099
unit.000720,0.00846
unit.000721,0.009385
unit.000722,0.009657
unit.000723,0.009786
unit.000724,0.009399
unit.000725,0.009989
unit.000726,0.009654
unit.000727,0.010013
unit.000728,0.010206
unit.000729,0.009892
unit.000730,0.009467
unit.000731,0.124325
unit.000732,0.00953
unit.000733,0.009906
unit.000734,0.009805
unit.000735,0.009559
unit.000736,0.009516
unit.000737,0.009799
unit.000738,0.010034
unit.000739,0.043083
unit.000740,0.01007
unit.000741,0.009076
unit.000742,0.009325
unit.000743,0.008131
unit.000744,0.008333
unit.000745,0.009161
unit.000746,0.009011
unit.000747,0.008706
unit.000748,0.008562
unit.000749,0.009561
unit.000750,0.008161
unit.000751,0.062162
unit.000752,0.007089
unit.000753,0.008551
unit.000754,0.009309
unit.000755,0.00939
unit.000756,0.009336
unit.000757,0.009223
unit.000758,0.00882
unit.000759,0.008949
unit.000760,0.007968
unit.000761,0.009758
unit.000762,0.008321
unit.000763,0.009842
unit.000764,0.010356
unit.000765,0.01084
unit.000766,0.01098
unit.000767,0.01081
unit.000768,0.010689
unit.000769,0.010831
unit.000770,0.010498
unit.000771,0.010728
unit.000772,0.08825
unit.000773,0.010049
unit.000774,0.010434
unit.000775,0.010272
unit.000776,0.009886
unit.000777,0.010409
unit.000778,0.010412
unit.000779,0.010755
unit.000780,0.04665
unit.000781,0.009854
unit.000782,0.013656
unit.000783,0.006874
unit.000784,0.008843
unit.000785,0.010375
unit.000786,0.01029
unit.000787,0.00952
unit.000788,0.00873
unit.000789,0.00847
unit.000790,0.0071
unit.000791,0.010652
unit.000792,0.068834
unit.000793,0.009924
unit.000794,0.009144
unit.000795,0.009019
unit.000796,0.010619
unit.000797,0.009296
unit.000798,0.009316
unit.000799,0.008352
unit.000800,0.009698
unit.000801,0.009687
unit.000802,0.009251
unit.000803,0.01009
unit.000804,0.01024
unit.000805,0.010153
unit.000806,0.009606
unit.000807,0.010002
unit.000808,0.010336
unit.000809,0.012449
unit.000810,0.009886
unit.000811,0.01124
unit.000812,0.008853
unit.000813,0.114647
